Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.00: 4.644
Noise Level 1.00: 1.025

Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.00: 4.644
Noise Level 1.00: 1.025

Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.00: 4.644
Noise Level 1.00: 1.026

Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.00: 4.644
Noise Level 0.01: 4.628
Noise Level 0.02: 4.627
Noise Level 0.03: 4.628
Noise Level 0.04: 4.628
Noise Level 0.05: 4.627
Noise Level 0.06: 4.628
Noise Level 0.07: 4.628
Noise Level 0.08: 4.627
Noise Level 0.09: 4.628
Noise Level 0.10: 4.628
Noise Level 0.11: 4.628
Noise Level 0.12: 4.627
Noise Level 0.13: 4.627
Noise Level 0.14: 4.628
Noise Level 0.15: 4.628
Noise Level 0.16: 4.627
Noise Level 0.17: 4.629
Noise Level 0.18: 4.629
Noise Level 0.19: 4.627
Noise Level 0.20: 4.628
Noise Level 0.21: 4.628
Noise Level 0.22: 4.628
Noise Level 0.23: 4.605
Noise Level 0.24: 4.572
Noise Level 0.25: 4.486
Noise Level 0.26: 4.334
Noise Level 0.27: 4.132
Noise Level 0.28: 3.942
Noise Level 0.29: 3.744
Noise Level 0.30: 3.558
Noise Level 0.31: 3.356
Noise Level 0.32: 3.146
Noise Level 0.33: 2.932
Noise Level 0.34: 2.700
Noise Level 0.35: 2.493
Noise Level 0.36: 2.311
Noise Level 0.37: 2.150
Noise Level 0.38: 2.008
Noise Level 0.39: 1.880
Noise Level 0.40: 1.774
Noise Level 0.41: 1.676
Noise Level 0.42: 1.593
Noise Level 0.43: 1.508
Noise Level 0.44: 1.432
Noise Level 0.45: 1.381
Noise Level 0.46: 1.332
Noise Level 0.47: 1.281
Noise Level 0.48: 1.246
Noise Level 0.49: 1.206
Noise Level 0.50: 1.183
Noise Level 0.51: 1.161
Noise Level 0.52: 1.142
Noise Level 0.53: 1.127
Noise Level 0.54: 1.117
Noise Level 0.55: 1.106
Noise Level 0.56: 1.094
Noise Level 0.57: 1.087
Noise Level 0.58: 1.079
Noise Level 0.59: 1.074
Noise Level 0.60: 1.069
Noise Level 0.61: 1.064
Noise Level 0.62: 1.059
Noise Level 0.63: 1.056
Noise Level 0.64: 1.053
Noise Level 0.65: 1.051
Noise Level 0.66: 1.048
Noise Level 0.67: 1.046
Noise Level 0.68: 1.045
Noise Level 0.69: 1.043
Noise Level 0.70: 1.042
Noise Level 0.71: 1.040
Noise Level 0.72: 1.039
Noise Level 0.73: 1.038
Noise Level 0.74: 1.037
Noise Level 0.75: 1.036
Noise Level 0.76: 1.035
Noise Level 0.77: 1.034
Noise Level 0.78: 1.033
Noise Level 0.79: 1.032
Noise Level 0.80: 1.031
Noise Level 0.81: 1.031
Noise Level 0.82: 1.030
Noise Level 0.83: 1.030
Noise Level 0.84: 1.029
Noise Level 0.85: 1.029
Noise Level 0.86: 1.028
Noise Level 0.87: 1.028
Noise Level 0.88: 1.028
Noise Level 0.89: 1.028
Noise Level 0.90: 1.027
Noise Level 0.91: 1.027
Noise Level 0.92: 1.027
Noise Level 0.93: 1.026
Noise Level 0.94: 1.026
Noise Level 0.95: 1.026
Noise Level 0.96: 1.026
Noise Level 0.97: 1.026
Noise Level 0.98: 1.026
Noise Level 0.99: 1.026
Noise Level 1.00: 1.025

Metric: PESQ
Processed 1 files
Skipped 0 files

Noise Level Results:
Noise Level 0.00: 4.644
Noise Level 0.01: 4.639
Noise Level 0.02: 4.640
Noise Level 0.03: 4.639
Noise Level 0.04: 4.639
Noise Level 0.05: 4.639
Noise Level 0.06: 4.639
Noise Level 0.07: 4.639
Noise Level 0.08: 4.639
Noise Level 0.09: 4.639
Noise Level 0.10: 4.639
Noise Level 0.11: 4.640
Noise Level 0.12: 4.640
Noise Level 0.13: 4.639
Noise Level 0.14: 4.639
Noise Level 0.15: 4.639
Noise Level 0.16: 4.639
Noise Level 0.17: 4.639
Noise Level 0.18: 4.639
Noise Level 0.19: 4.639
Noise Level 0.20: 4.639
Noise Level 0.21: 4.639
Noise Level 0.22: 4.639
Noise Level 0.23: 4.635
Noise Level 0.24: 4.627
Noise Level 0.25: 4.612
Noise Level 0.26: 4.569
Noise Level 0.27: 4.491
Noise Level 0.28: 4.353
Noise Level 0.29: 4.149
Noise Level 0.30: 3.922
Noise Level 0.31: 3.726
Noise Level 0.32: 3.562
Noise Level 0.33: 3.373
Noise Level 0.34: 3.178
Noise Level 0.35: 2.971
Noise Level 0.36: 2.771
Noise Level 0.37: 2.581
Noise Level 0.38: 2.402
Noise Level 0.39: 2.256
Noise Level 0.40: 2.124
Noise Level 0.41: 2.001
Noise Level 0.42: 1.893
Noise Level 0.43: 1.790
